X;Open;Close;Low;High
0;94;80;79;96
1;97;111;94;112
2;50;32;28;51
3;53;67;50;69
4;53;40;37;56
5;89;72;68;91
6;59;44;43;61
7;69;54;53;73
8;71;61;60;73
9;86;97;84;98
10;73;88;70;89
11;56;37;36;57
12;74;61;59;78
13;74;64;61;78
14;62;77;58;79
15;51;61;48;64
16;88;77;74;90
17;89;101;85;105
18;73;59;57;75
19;96;84;83;100
20;74;84;73;85
21;67;54;53;68
22;87;99;83;103
23;75;85;71;87
24;63;80;62;83
25;58;73;55;74
26;59;78;56;81
27;70;80;69;84
28;66;54;53;70
29;55;72;51;75
30;65;77;64;81
31;97;78;76;99
32;50;38;35;52
33;68;81;67;83
34;85;72;71;89
35;74;62;58;77
36;99;112;97;113
37;79;93;75;94
38;69;58;57;71
39;69;81;66;82
40;64;45;43;68
41;89;78;76;92
42;82;96;80;100
43;51;35;31;55
44;59;41;40;62
45;82;70;69;83
46;81;94;80;97
47;60;70;58;74
48;73;63;61;76
49;85;101;82;104
